id	difficulty	title	tags
1491	Easy	Average Salary Excluding the Minimum and Maximum Salary	Array,Sorting
1492	Medium	The kth Factor of n	Math,Number Theory
1493	Medium	Longest Subarray of 1's After Deleting One Element	Array,Dynamic Programming,Sliding Window
1494	Hard	Parallel Courses II	Bit Manipulation,Graph,Dynamic Programming,Bitmask
1495	Easy	Friendly Movies Streamed Last Month	Database
1496	Easy	Path Crossing	Hash Table,String
1497	Medium	Check If Array Pairs Are Divisible by k	Array,Hash Table,Counting
1498	Medium	Number of Subsequences That Satisfy the Given Sum Condition	Array,Two Pointers,Binary Search,Sorting
1499	Hard	Max Value of Equation	Queue,Array,Sliding Window,Monotonic Queue,Heap (Priority Queue)
1500	Medium	Design a File Sharing System	Design,Hash Table,Data Stream,Sorting,Heap (Priority Queue)
1501	Medium	Countries You Can Safely Invest In	Database
1502	Easy	Can Make Arithmetic Progression From Sequence	Array,Sorting
1503	Medium	Last Moment Before All Ants Fall Out of a Plank	Brainteaser,Array,Simulation
1504	Medium	Count Submatrices With All Ones	Stack,Array,Dynamic Programming,Matrix,Monotonic Stack
1505	Hard	Minimum Possible Integer After at Most K Adjacent Swaps On Digits	Greedy,Binary Indexed Tree,Segment Tree,String
1506	Medium	Find Root of N-Ary Tree	Bit Manipulation,Tree,Depth-First Search,Hash Table
1507	Easy	Reformat Date	String
1508	Medium	Range Sum of Sorted Subarray Sums	Array,Two Pointers,Binary Search,Prefix Sum,Sorting
1509	Medium	Minimum Difference Between Largest and Smallest Value in Three Moves	Greedy,Array,Sorting
1510	Hard	Stone Game IV	Math,Dynamic Programming,Game Theory
1511	Easy	Customer Order Frequency	Database
1512	Easy	Number of Good Pairs	Array,Hash Table,Math,Counting
1513	Medium	Number of Substrings With Only 1s	Math,String
1514	Medium	Path with Maximum Probability	Graph,Array,Shortest Path,Heap (Priority Queue)
1515	Hard	Best Position for a Service Centre	Geometry,Array,Math,Randomized
1516	Hard	Move Sub-Tree of N-Ary Tree	Tree,Depth-First Search
1517	Easy	Find Users With Valid E-Mails	Database
1518	Easy	Water Bottles	Math,Simulation
1519	Medium	Number of Nodes in the Sub-Tree With the Same Label	Tree,Depth-First Search,Breadth-First Search,Hash Table,Counting
1520	Hard	Maximum Number of Non-Overlapping Substrings	Greedy,Hash Table,String,Sorting
1521	Hard	Find a Value of a Mysterious Function Closest to Target	Bit Manipulation,Segment Tree,Array,Binary Search
1522	Medium	Diameter of N-Ary Tree	Tree,Depth-First Search
1523	Easy	Count Odd Numbers in an Interval Range	Math
1524	Medium	Number of Sub-arrays With Odd Sum	Array,Math,Dynamic Programming,Prefix Sum
1525	Medium	Number of Good Ways to Split a String	Bit Manipulation,Hash Table,String,Dynamic Programming,Prefix Sum
1526	Hard	Minimum Number of Increments on Subarrays to Form a Target Array	Stack,Greedy,Array,Dynamic Programming,Monotonic Stack
1527	Easy	Patients With a Condition	Database
1528	Easy	Shuffle String	Array,String
1529	Medium	Minimum Suffix Flips	Greedy,String
1530	Medium	Number of Good Leaf Nodes Pairs	Tree,Depth-First Search,Binary Tree
1531	Hard	String Compression II	String,Dynamic Programming
1532	Medium	The Most Recent Three Orders	Database
1533	Medium	Find the Index of the Large Integer	Array,Binary Search,Interactive
1534	Easy	Count Good Triplets	Array,Enumeration
1535	Medium	Find the Winner of an Array Game	Array,Simulation
1536	Medium	Minimum Swaps to Arrange a Binary Grid	Greedy,Array,Matrix
1537	Hard	Get the Maximum Score	Greedy,Array,Two Pointers,Dynamic Programming
1538	Medium	Guess the Majority in a Hidden Array	Array,Math,Interactive
1539	Easy	Kth Missing Positive Number	Array,Binary Search
1540	Medium	Can Convert String in K Moves	Hash Table,String
1541	Medium	Minimum Insertions to Balance a Parentheses String	Stack,Greedy,String
1542	Hard	Find Longest Awesome Substring	Bit Manipulation,Hash Table,String
1543	Easy	Fix Product Name Format	Database
1544	Easy	Make The String Great	Stack,String
1545	Medium	Find Kth Bit in Nth Binary String	Recursion,String,Simulation
1546	Medium	Maximum Number of Non-Overlapping Subarrays With Sum Equals Target	Greedy,Array,Hash Table,Prefix Sum
1547	Hard	Minimum Cost to Cut a Stick	Array,Dynamic Programming,Sorting
1548	Hard	The Most Similar Path in a Graph	Graph,Array,String,Dynamic Programming
1549	Medium	The Most Recent Orders for Each Product	Database
1550	Easy	Three Consecutive Odds	Array
1551	Medium	Minimum Operations to Make Array Equal	Math
1552	Medium	Magnetic Force Between Two Balls	Array,Binary Search,Sorting
1553	Hard	Minimum Number of Days to Eat N Oranges	Memoization,Dynamic Programming
1554	Medium	Strings Differ by One Character	Hash Table,String,Hash Function,Rolling Hash
1555	Medium	Bank Account Summary	Database
1556	Easy	Thousand Separator	String
1557	Medium	Minimum Number of Vertices to Reach All Nodes	Graph
1558	Medium	Minimum Numbers of Function Calls to Make Target Array	Greedy,Bit Manipulation,Array
1559	Medium	Detect Cycles in 2D Grid	Depth-First Search,Breadth-First Search,Union Find,Array,Matrix
1560	Easy	Most Visited Sector in  a Circular Track	Array,Simulation
1561	Medium	Maximum Number of Coins You Can Get	Greedy,Array,Math,Game Theory,Sorting
1562	Medium	Find Latest Group of Size M	Array,Hash Table,Binary Search,Simulation
1563	Hard	Stone Game V	Array,Math,Dynamic Programming,Game Theory
1564	Medium	Put Boxes Into the Warehouse I	Greedy,Array,Sorting
1565	Easy	Unique Orders and Customers Per Month	Database
1566	Easy	Detect Pattern of Length M Repeated K or More Times	Array,Enumeration
1567	Medium	Maximum Length of Subarray With Positive Product	Greedy,Array,Dynamic Programming
1568	Hard	Minimum Number of Days to Disconnect Island	Depth-First Search,Breadth-First Search,Array,Matrix,Strongly Connected Component
1569	Hard	Number of Ways to Reorder Array to Get Same BST	Tree,Union Find,Binary Search Tree,Memoization,Array,Math,Divide and Conquer,Dynamic Programming,Binary Tree,Combinatorics
1570	Medium	Dot Product of Two Sparse Vectors	Design,Array,Hash Table,Two Pointers
1571	Easy	Warehouse Manager	Database
1572	Easy	Matrix Diagonal Sum	Array,Matrix
1573	Medium	Number of Ways to Split a String	Math,String
1574	Medium	Shortest Subarray to be Removed to Make Array Sorted	Stack,Array,Two Pointers,Binary Search,Monotonic Stack
1575	Hard	Count All Possible Routes	Memoization,Array,Dynamic Programming
1576	Easy	Replace All 's to Avoid Consecutive Repeating Characters	String
1577	Medium	Number of Ways Where Square of Number Is Equal to Product of Two Numbers	Array,Hash Table,Math,Two Pointers
1578	Medium	Minimum Time to Make Rope Colorful	Greedy,Array,String,Dynamic Programming
1579	Hard	Remove Max Number of Edges to Keep Graph Fully Traversable	Union Find,Graph
1580	Medium	Put Boxes Into the Warehouse II	Greedy,Array,Sorting
